"filename", "language", "JavaScript", "CSS", "JSON", "Go", "Docker", "YAML", "XML", "Ignore", "HTTP", "Golang HTML Template", "Markdown", "Log", "Django txt", "comment", "blank", "total"
"d:\Go-Projects\src\GoProjects\CoffeeTwist\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Go-Projects\src\GoProjects\CoffeeTwist\Dockerfile", "Docker", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 24
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\package-lock.json", "JSON", 0, 0, 17408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17409
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\package.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\assets\i18n\translations\el.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\assets\i18n\translations\en.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\index.html", "Golang HTML Template", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 45
"d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
